Date,Online - Predominantly Food Stores Total,Online - Textile Clothing and Footwear Stores Total,Online - Retail Sale of Textiles,Online - Retail Sale of Clothing,Online - Footwear and Leather Goods,Online - Books Newspapers and Stationery,Stores - Predominantly Food Stores Total,Stores -Textile Clothing and Footwear Stores Total,Stores - Retail Sale of Textiles,Stores - Retail Sale of Clothing,Stores - Footwear and Leather Goods,Stores - Books Newspapers and Stationery
2008JAN,183748,115604,4293,103544,7767,7389,10881262,2911726,67682,2529121,314923,360176
2008FEB,151051,95034,3530,85118,6386,6074,9200722,2346267,50914,2065039,230314,323222
2008MAR,195147,122775,4559,109967,8249,7847,11568214,3081320,68406,2714443,298471,368638
2008APR,160614,101050,3752,90508,6790,6459,9303545,2510686,58068,2184468,268150,277197
2008MAY,162071,101966,3786,91329,6851,6516,9698868,2915297,48018,2556726,310553,266864
2008JUN,211297,132938,4938,119068,8932,8497,12019525,3342353,64302,2903628,374423,368223
2008JUL,169355,106549,3957,95433,7159,6809,9550297,2835648,55275,2473120,307253,298311
2008AUG,170684,107386,3988,96183,7215,6864,9447650,2750858,51408,2355177,344273,305808
2008SEP,229426,144344,5361,129284,9699,9226,11754746,3410387,72854,2962747,374786,418964
2008OCT,197476,124241,4614,111279,8348,7940,9605328,2882874,59442,2524948,298484,340252
2008NOV,244214,153646,5705,137618,10323,9821,10103843,3136261,51915,2786521,297825,381815
2008DEC,344456,216715,8048,194105,14562,13852,13608621,5120683,62262,4570138,488283,670258
2009JAN,205010,128982,4789,115526,8667,8244,9188785,2397557,64479,2075669,257409,327844
2009FEB,200958,126433,4695,113243,8495,8081,9639058,2251864,62017,1953678,236169,340279
2009MAR,274267,153370,6909,136383,10078,8297,12204932,3096693,56121,2732060,308512,414988
2009APR,213260,126958,5886,111989,9083,6989,10028253,2675709,48014,2307902,319793,316415
2009MAY,229135,131430,6807,115893,8730,6712,10034164,2640762,52993,2288831,298938,298436
2009JUN,275479,170228,5012,154118,11098,10177,12816954,3443099,63028,2999379,380692,382463
2009JUL,225678,134724,5342,121105,8277,8521,9985792,2867645,53882,2508872,304891,307775
2009AUG,216903,132730,5455,119241,8034,10625,9921906,2634845,49017,2270290,315538,307991
2009SEP,280764,184863,6057,165809,12997,12536,12213008,3390309,62768,2961569,365972,411729
2009OCT,241815,165332,4647,151206,9479,12558,9874692,2938839,60205,2564133,314501,354054
2009NOV,259041,195118,7980,175838,11300,14032,10401511,3094784,54928,2741904,297952,401684
2009DEC,305810,292863,6895,257667,28301,17336,14395551,5104750,58430,4580481,465839,721120
2010JAN,249657,177271,4894,155601,16776,7293,9392554,2417135,49071,2111588,256476,292223
2010FEB,296870,136067,4925,121671,9471,6961,9608616,2401140,49628,2112344,239168,315499
2010MAR,364641,196062,4705,178047,13310,8386,12500721,3235684,62373,2858244,315067,384997
2010APR,312979,167051,3901,148692,14458,7177,9804034,2810995,51231,2455240,304524,267746
2010MAY,283283,165655,3868,145619,16168,7842,10208096,2774749,50642,2425888,298219,269808
2010JUN,348605,198666,5032,174080,19554,9363,12918195,3548444,63396,3093858,391190,347980
2010JUL,262045,186104,4625,166796,14683,8391,10074182,2957786,55632,2572195,329959,287963
2010AUG,259671,179975,4439,160613,14923,8475,9918294,2758068,55066,2363917,339085,295519
2010SEP,341218,237020,5720,209438,21862,8854,12296651,3594643,67028,3110096,417519,385891
2010OCT,288989,223875,4890,196692,22293,8755,10017376,3067210,62069,2667162,337979,315656
2010NOV,317008,256964,6433,224086,26445,9493,10688623,3272914,69103,2869306,334505,367971
2010DEC,354946,366750,8982,315050,42718,12050,14643002,5237952,77951,4635767,524234,671087
2011JAN,300610,218810,1785,197300,19725,13901,9536966,2499733,48805,2176974,273954,297484
2011FEB,284126,191387,4514,171999,14874,15471,9891029,2412273,43992,2130660,237621,309669
2011MAR,358149,266459,5550,240256,20653,28004,12634357,3189403,54511,2830362,304530,371607
2011APR,308850,218664,5168,195087,18409,15661,10773384,2947366,38863,2595082,313421,257349
2011MAY,275380,223390,5645,199753,17992,15927,10437962,2811605,39778,2478692,293135,270044
2011JUN,370426,271489,6571,237964,26954,24612,13139350,3619789,51566,3178753,389470,352777
2011JUL,274878,237080,5851,210553,20676,16884,10566341,3009761,43233,2634595,331933,290988
2011AUG,262665,220987,4869,197657,18461,17218,10466250,2768799,40536,2407833,320430,276845
2011SEP,363040,315316,14335,273727,27254,22790,13018803,3558950,51700,3109097,398153,373648
2011OCT,308158,285044,6370,252335,26339,16909,10563676,3049204,46064,2673960,329180,297841
2011NOV,347914,321852,9155,277638,35059,18544,11043659,3276621,50087,2895156,331378,360710
2011DEC,416043,495565,14464,421982,59119,36009,15736990,5666421,66336,5050677,549408,691600
2012JAN,302768,277672,4790,247905,24977,5127,9876119,2510589,44825,2179723,286041,289781
2012FEB,355960,232155,4063,205389,22703,6956,10314549,2407065,45242,2122276,239547,291650
2012MAR,418847,339444,6669,303192,29583,10829,13164240,3336471,52475,2949235,334761,374747
2012APR,350138,257138,6148,227793,23197,6693,10695544,2733227,40037,2390537,302653,283890
2012MAY,360336,270396,5903,241569,22924,11855,10795180,2781819,39831,2442401,299587,273777
2012JUN,407632,315581,10107,275295,30179,16295,13588105,3642425,50306,3199989,392130,359099
2012JUL,336822,297484,9006,266830,21648,14150,10802958,2968843,41150,2597946,329747,289903
2012AUG,311416,267193,8734,238154,20305,11758,10740777,2835096,44643,2442928,347525,262663
2012SEP,418632,356716,10996,314768,30952,18822,13329545,3715861,54579,3237910,423372,370336
2012OCT,350641,343538,11328,303647,28563,13329,10700899,3088844,49881,2681453,357510,312227
2012NOV,387380,330680,12021,284412,34247,15893,11251730,3246193,47968,2882607,315618,341102
2012DEC,514227,622097,16839,543923,61335,20833,15885980,5552625,61781,4954447,536397,668638
2013JAN,377385,307328,12427,256386,38515,6745,10069671,2507334,40429,2181238,285667,268092
2013FEB,380901,261331,6885,226738,27708,10805,10489719,2464250,44153,2165313,254784,282327
2013MAR,484140,411540,12997,360805,37738,17657,13770439,3193783,48279,2857526,287978,349644
2013APR,369813,304111,6346,264421,33344,16292,10538990,2673154,44312,2353014,275828,237927
2013MAY,386015,311141,7882,278013,25246,16798,11126601,2840228,43519,2518226,278483,240808
2013JUN,476315,384492,9778,341735,32979,13123,13941389,3727720,56838,3310271,360611,333066
2013JUL,375707,316474,8942,284949,22583,13502,11432139,3014843,45279,2668607,300957,240381
2013AUG,344925,284401,6280,258081,20040,14602,11015050,2902992,48483,2512009,342500,260235
2013SEP,476744,429457,8021,389017,32419,9533,13629285,3797989,51820,3332352,413817,364459
2013OCT,401119,353769,8457,318182,27130,8840,11006485,3090890,47435,2709898,333557,291879
2013NOV,432320,429631,11907,384948,32776,8654,11554689,3366243,49344,2992308,324591,328700
2013DEC,579384,651708,16746,571028,63934,16452,16354417,5733337,69160,5095909,568268,642808
2014JAN,499101,450311,15399,400863,34049,6674,13005878,3123186,46318,2749375,327493,292032
2014FEB,434039,298013,9512,269656,18845,4267,10772295,2385198,42709,2104929,237560,254700
2014MAR,541938,439107,12939,397306,28862,6614,13535342,3370732,57723,2981317,331692,320034
2014APR,424960,339435,10637,303822,24976,4035,11448522,2907010,45744,2571054,290212,239354
2014MAY,436593,382142,9770,334217,38155,4418,11216386,2941769,42498,2637681,261590,238516
2014JUN,545715,469577,9973,413946,45658,6871,14120044,3857612,54145,3427088,376379,312209
2014JUL,418460,382247,12795,334121,35331,4407,11232444,3116845,47686,2769651,299508,249095
2014AUG,390861,381006,9548,328785,42673,5523,10955367,3109022,46275,2716427,346320,265192
2014SEP,544622,490675,12728,430592,47355,8117,13588829,3647603,58812,3234004,354787,362632
2014OCT,450932,413536,11165,365465,36906,6415,11118245,3118281,52705,2745894,319682,278753
2014NOV,486374,516859,13740,454040,49079,8770,11723479,3479075,53992,3107495,317588,338894
2014DEC,610248,784658,23007,680000,81651,9708,16058794,5797464,70081,5190557,536826,593421
2015JAN,465528,410481,9187,366636,34658,6347,10405604,2554360,33020,2250511,270829,265058
2015FEB,475686,324426,7356,295081,21989,5836,10662661,2560914,37057,2282031,241826,277652
2015MAR,612664,473920,10637,430321,32962,6785,14004226,3480705,56153,3127885,296667,351622
2015APR,461731,393709,8005,355346,30358,4185,10759377,3007104,45712,2655405,305987,239075
2015MAY,486847,388939,8270,352874,27795,4684,11260574,3059110,46284,2712467,300359,250788
2015JUN,618025,549980,9338,496999,43643,6503,14035478,4022146,56677,3550081,415388,329661
2015JUL,475642,405134,10058,364254,30822,4388,11094317,3195297,49716,2820863,324718,271171
