Date,Online - Predominantly Food Stores Total,Online - Textile Clothing and Footwear Stores Total,Online - Retail Sale of Textiles,Online - Retail Sale of Clothing,Online - Footwear and Leather Goods,Online - Books Newspapers and Stationery
2008JAN,183748,115604,4293,103544,7767,7389
2008FEB,151051,95034,3530,85118,6386,6074
2008MAR,195147,122775,4559,109967,8249,7847
2008APR,160614,101050,3752,90508,6790,6459
2008MAY,162071,101966,3786,91329,6851,6516
2008JUN,211297,132938,4938,119068,8932,8497
2008JUL,169355,106549,3957,95433,7159,6809
2008AUG,170684,107386,3988,96183,7215,6864
2008SEP,229426,144344,5361,129284,9699,9226
2008OCT,197476,124241,4614,111279,8348,7940
2008NOV,244214,153646,5705,137618,10323,9821
2008DEC,344456,216715,8048,194105,14562,13852
2009JAN,205010,128982,4789,115526,8667,8244
2009FEB,200958,126433,4695,113243,8495,8081
2009MAR,274267,153370,6909,136383,10078,8297
2009APR,213260,126958,5886,111989,9083,6989
2009MAY,229135,131430,6807,115893,8730,6712
2009JUN,275479,170228,5012,154118,11098,10177
2009JUL,225678,134724,5342,121105,8277,8521
2009AUG,216903,132730,5455,119241,8034,10625
2009SEP,280764,184863,6057,165809,12997,12536
2009OCT,241815,165332,4647,151206,9479,12558
2009NOV,259041,195118,7980,175838,11300,14032
2009DEC,305810,292863,6895,257667,28301,17336
2010JAN,249657,177271,4894,155601,16776,7293
2010FEB,296870,136067,4925,121671,9471,6961
2010MAR,364641,196062,4705,178047,13310,8386
2010APR,312979,167051,3901,148692,14458,7177
2010MAY,283283,165655,3868,145619,16168,7842
2010JUN,348605,198666,5032,174080,19554,9363
2010JUL,262045,186104,4625,166796,14683,8391
2010AUG,259671,179975,4439,160613,14923,8475
2010SEP,341218,237020,5720,209438,21862,8854
2010OCT,288989,223875,4890,196692,22293,8755
2010NOV,317008,256964,6433,224086,26445,9493
2010DEC,354946,366750,8982,315050,42718,12050
2011JAN,300610,218810,1785,197300,19725,13901
2011FEB,284126,191387,4514,171999,14874,15471
2011MAR,358149,266459,5550,240256,20653,28004
2011APR,308850,218664,5168,195087,18409,15661
2011MAY,275380,223390,5645,199753,17992,15927
2011JUN,370426,271489,6571,237964,26954,24612
2011JUL,274878,237080,5851,210553,20676,16884
2011AUG,262665,220987,4869,197657,18461,17218
2011SEP,363040,315316,14335,273727,27254,22790
2011OCT,308158,285044,6370,252335,26339,16909
2011NOV,347914,321852,9155,277638,35059,18544
2011DEC,416043,495565,14464,421982,59119,36009
2012JAN,302768,277672,4790,247905,24977,5127
2012FEB,355960,232155,4063,205389,22703,6956
2012MAR,418847,339444,6669,303192,29583,10829
